uid,sample,gender,age_2,dwelling,industry,social_involve_1,social_involve_2,social_involve_3,social_involve_4,social_involve_5,social_involve_6,volunteerdonate_1,volunteerdonate_2,volunteerdonate_3,volunteerdonate_4,volunteerdonate_7,snetwork_ethnicity,snetwork_nationality,snetwork_religion,snetwork_income,snetwork_education,snetwork_sorientation,close_sg_friends,support_immedfam,support_extfam,support_worksch,support_friends,outcome_connection,outcome_future,online_news,online_sm,online_areasinterest,online_sharemedia,marital_stats,children,age_youngestchild,hh_grandparents,hh_parents,hh_siblings,hh_spouse,hh_children,hh_relatives,hh_helper,hh_mates,hh_employer_their_family,hh_grandchildren,hh_other,hh_none,highest_ed,institution_deg,occupation,mhi,mpi,weight,pillarbeh_1,pillarbeh_2,pillarbeh_3,pillarbeh_4,pillarbeh_5,pillarbeh_6,pillarbeh_7,pillarbeh_8,pillarbeh_9,pillarbeh_10,pillarbeh_11,pillarbeh_12,pillarbeh_13,pillarbeh_14,pillarbeh_15,pillarvals_1,pillarvals_2,pillarvals_3,pillarvals_4,pillarvals_5,pillarvals_6,pillarvals_7,pillarvals_8,pillarvals_9,pillarvals_12,pillarvals_13,pillarvals_14,pillarvals_21,pillarvals_22,pillarvals_23,pillarvals_24,pillarvals_25,pillarvals_26,pillarvals_29,pillarvals_30,pillarvals_31,pillarvals_32,pillarvals_33
1535,Resident (Citizen/PR),Female,65-75 years old,Landed property,Not currently working,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,6,6,0 - Not at all,6,9,9,Less frequently,Daily,A few times a month,A few times a week,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Junior College / Pre-U / ""A"" Levels",-,Retired,"S$6,001-S$7,000",-,0.955919824,8,8,8,8,8,8,5,8,8,8,5,5,8,8,6,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,9,9,6,9,9,9,9,9
1566,Resident (Citizen/PR),Female,45-54 years old,HDB 4 room,Not currently working,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,10 - A lot,6,0 - Not at all,6,8,10 - I have a strong desire to be a part of shaping Singapore’s future,Daily,Daily,Daily,Less frequently,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Home maker,Refuse,-,0.978762877,10 - Strongly agree,6,5,5,8,10 - Strongly agree,6,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,8,8,8,8,10 - Strongly agree,10 - Strongly agree,8,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,6,10 - Strongly agree
1594,Resident (Citizen/PR),Female,45-54 years old,HDB 3 room,Health and social services,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,5,6,6,8,6,A few times a week,A few times a month,A few times a month,A few times a month,Single,No,-,No,No,No,No,No,No,No,No,No,No,No,Yes,"Secondary/ high school / ""O / N"" Levels",-,"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)","S$2,001-S$3,000","S$2,001-S$3,000",0.886406868,7,6,6,9,7,6,7,6,7,9,9,8,8,6,7,7,7,7,8,6,6,6,6,7,7,9,6,7,7,7,6,7,7,7,7,7,7,7
1601,Resident (Citizen/PR),Female,25-34 years old,HDB 3 room,Not currently working,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,5,5,5,8,7,A few times a week,A few times a week,A few times a week,A few times a week,Married,Yes,3,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Home maker,"S$5,001-S$6,000",-,0.749618391,6,7,6,7,8,9,7,7,6,6,7,6,6,8,7,7,7,7,8,7,7,8,6,7,7,7,6,7,7,8,7,9,7,7,7,9,6,7
2190,Resident (Citizen/PR),Female,35-44 years old,HDB 3 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,2,0 - Not at all,10 - A lot,8,8,Less frequently,Daily,Less frequently,Less frequently,Married,Yes,10,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Home maker,"S$4,001-S$5,000",-,0.881168454,6,6,6,5,5,8,8,6,5,6,5,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,5,5,5,5,6,6,6,6,6,5,6,6
1607,Resident (Citizen/PR),Female,35-44 years old,HDB 3 room,Tourism / Hospitality / Accommodation,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,10 - A lot,10 - A lot,7,10 - A lot,8,8,Daily,Daily,Daily,Less frequently,Married,No,-,No,No,No,Yes,No,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)","S$9,001-S$10,000","S$3,001-S$4,000",0.749938938,10 - Strongly agree,9,5,10 - Strongly agree,0 - Do not agree at all,7,10 - Strongly agree,5,0 - Do not agree at all,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,5,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,5,4,5,4,5,5,7,7,9,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,7,8,10 - Strongly agree,4
1687,Resident (Citizen/PR),Male,45-54 years old,HDB 3 room,Wholesale and Retail Trade,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,10 - A lot,8,6,6,6,6,Daily,Less frequently,A few times a month,A few times a month,Married,Yes,13,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)",Refuse,Refuse,0.92264157,7,5,5,3,3,3,4,3,4,7,7,7,4,5,5,6,6,5,6,5,4,4,5,4,6,5,7,6,7,7,6,6,7,7,6,5,6,7
1765,Resident (Citizen/PR),Male,45-54 years old,HDB 3 room,Marine,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,7,5,5,5,10 - Very strong,10 - I have a strong desire to be a part of shaping Singapore’s future,Daily,Daily,Less frequently,A few times a week,Married,Yes,13,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),"Associate professionals (e.g. Paramedic, Assistant Engineer etc)","S$5,001-S$6,000","S$3,001-S$4,000",0.808673709,9,5,5,8,7,5,8,5,7,7,9,5,7,8,8,10 - Strongly agree,8,6,10 - Strongly agree,9,8,9,9,8,9,9,9,6,8,6,8,8,8,10 - Strongly agree,10 - Strongly agree,9,9,6
1767,Resident (Citizen/PR),Male,35-44 years old,HDB 3 room,Oil & Gas,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,5,5,8,8,9,9,Daily,Daily,Daily,Less frequently,Married,Yes,8,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Polytechnic / diploma,-,Executives / officers,"S$3,001-S$4,000","S$3,001-S$4,000",0.803894676,8,8,7,8,7,9,8,8,6,8,9,8,8,8,8,8,9,8,8,9,9,7,8,8,9,8,8,6,8,8,8,6,9,8,8,9,8,8
1772,Resident (Citizen/PR),Male,45-54 years old,Landed property,Food and beverage,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,9,7,5,7,9,9,Daily,A few times a week,A few times a week,A few times a month,Single,No,-,No,No,No,No,No,No,No,Yes,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Self-employed / Freelancer,Refuse,Refuse,1.013352663,10 - Strongly agree,7,7,5,5,10 - Strongly agree,2,5,2,10 - Strongly agree,5,5,5,5,7,5,5,9,5,5,8,7,5,7,9,7,9,5,8,5,9,5,9,9,9,7,9,9
1861,Resident (Citizen/PR),Female,35-44 years old,HDB 3 room,Not currently working,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,8,8,5,5,7,8,Daily,Daily,Daily,Less frequently,Married,Yes,Less than 1 year,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Home maker,Refuse,-,0.881168454,9,6,7,7,5,8,5,8,6,8,8,9,8,8,9,8,8,8,9,9,7,6,7,6,8,7,9,8,9,8,8,9,10 - Strongly agree,9,7,8,8,8
1895,Resident (Citizen/PR),Female,35-44 years old,HDB 3 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,10 - A lot,6,0 - Not at all,8,7,8,Daily,Daily,A few times a week,Less frequently,Married,Yes,9,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Home maker,"S$3,001-S$4,000",-,0.772323495,7,7,8,6,5,8,0 - Do not agree at all,6,5,5,9,5,5,7,7,6,6,6,6,8,6,5,6,5,5,6,5,5,5,6,5,5,5,8,6,6,5,5
1950,Resident (Citizen/PR),Male,35-44 years old,HDB 4 room,Aviation,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,10 - A lot,10 - A lot,10 - A lot,10 - Very strong,10 - I have a strong desire to be a part of shaping Singapore’s future,A few times a month,Less frequently,Less frequently,Less frequently,Married,Yes,10,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),"Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)","$10,001-$11,000","S$4,001-S$5,000",0.861926405,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,9,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree
1963,Resident (Citizen/PR),Female,45-54 years old,HDB 5 room / Executive,Not currently working,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,10 - A lot,0 - Not at all,10 - A lot,8,7,Less frequently,Daily,Less frequently,A few times a month,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Primary school / PSLE,-,Home maker,"S$3,001-S$4,000",-,1.440911389,8,8,7,6,0 - Do not agree at all,8,5,5,5,9,9,8,8,9,0 - Do not agree at all,7,8,8,7,8,8,5,8,5,8,9,8,5,8,7,8,7,7,8,7,8,7,10 - Strongly agree
2036,Resident (Citizen/PR),Male,20-24 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,4,4,4,5,8,8,A few times a week,Daily,Daily,Daily,Single,No,-,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Polytechnic / diploma,-,Student,"S$6,001-S$7,000",-,0.891081358,8,10 - Strongly agree,9,5,5,9,8,9,3,9,6,8,8,8,9,9,7,9,8,8,7,7,9,8,9,8,8,8,9,6,7,8,8,9,7,6,6,9
1965,Resident (Citizen/PR),Male,35-44 years old,HDB 4 room,Government / Public Sector / Defence,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,2,5,5,9,10 - I have a strong desire to be a part of shaping Singapore’s future,Daily,Less frequently,A few times a week,A few times a week,Married,Yes,3,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Polytechnic / diploma,-,Middle management (managerial),"S$4,001-S$5,000","S$4,001-S$5,000",0.887653621,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree
2013,Resident (Citizen/PR),Female,45-54 years old,HDB 4 room,Not currently working,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,10 - A lot,1,10 - A lot,9,9,Daily,Daily,Daily,A few times a week,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Polytechnic / diploma,-,Home maker,"S$5,001-S$6,000",-,0.978762877,9,9,9,9,9,9,9,9,9,9,10 - Strongly agree,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10 - Strongly agree,9,10 - Strongly agree,9,9,10 - Strongly agree,9,9,9,9,9
2018,Resident (Citizen/PR),Male,16-19 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,8,10 - A lot,3,7,10 - Very strong,10 - I have a strong desire to be a part of shaping Singapore’s future,Daily,Daily,A few times a week,A few times a week,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Technical / vocational school,-,Student,"S$7,001-S$8,000",-,0.758375545,5,10 - Strongly agree,10 - Strongly agree,7,0 - Do not agree at all,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,0 - Do not agree at all,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,6,7,6,10 - Strongly agree,6,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,7,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,7,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree
2020,Resident (Citizen/PR),Female,25-34 years old,HDB 4 room,Finance / Banking / Insurance,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,9,9,9,7,7,A few times a week,A few times a week,A few times a week,A few times a week,Married,Yes,Less than 1 year,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Post graduate degree,Non-Singapore university (studied overseas most or all of the time),"Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)","$14,001-$15,000","S$6,001-S$7,000",0.944374613,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2025,Resident (Citizen/PR),Female,45-54 years old,HDB 3 room,Tourism / Hospitality / Accommodation,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,5,10 - A lot,5,9,10 - I have a strong desire to be a part of shaping Singapore’s future,Daily,Daily,Daily,Less frequently,Married,Yes,9,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)","$11,001-$12,000","S$4,001-S$5,000",0.776914842,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,4,5,8,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,7,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,5,9,6,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree
2026,Resident (Citizen/PR),Male,35-44 years old,HDB 3 room,Manufacturing,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,10 - A lot,10 - A lot,7,8,7,A few times a week,A few times a month,A few times a week,A few times a week,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Polytechnic / diploma,-,"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)","S$3,001-S$4,000","S$1,000-2,000",0.803894676,6,8,6,7,5,8,7,7,5,6,6,7,7,7,8,7,8,7,7,7,7,6,7,7,7,7,7,6,5,6,7,10 - Strongly agree,8,7,7,6,7,6
2027,Resident (Citizen/PR),Male,55-64 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,9,9,5,5,8,8,Less frequently,Less frequently,Less frequently,Less frequently,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Retired,"S$5,001-S$6,000",-,1.000318165,7,7,6,6,5,6,5,6,6,6,6,6,7,7,6,7,5,5,9,9,5,9,6,7,7,6,7,7,6,5,9,9,9,7,9,9,7,9
2029,Resident (Citizen/PR),Male,55-64 years old,HDB 3 room,Health and social services,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,7,7,8,6,7,Daily,Daily,A few times a month,A few times a month,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)","S$7,001-S$8,000","S$2,001-S$3,000",0.905928201,8,8,6,8,7,8,6,7,1,6,7,7,6,7,1,6,7,5,7,7,6,7,7,6,6,1,7,5,6,7,0 - Do not agree at all,6,6,7,7,2,5,8
2203,Resident (Citizen/PR),Male,25-34 years old,HDB 3 room,Manufacturing,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,6,6,10 - A lot,7,6,Less frequently,Less frequently,Less frequently,Less frequently,Married,Yes,Less than 1 year,No,No,No,Yes,No,No,No,No,No,No,No,No,Polytechnic / diploma,-,Executives / officers,Refuse,"S$3,001-S$4,000",0.890225096,6,5,5,6,6,5,6,7,6,6,6,6,7,6,5,6,7,6,6,6,6,7,6,6,7,6,5,6,6,6,6,5,6,6,6,5,5,5
2031,Resident (Citizen/PR),Female,35-44 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,10 - A lot,0 - Not at all,9,9,9,Daily,Daily,Daily,Less frequently,Married,Yes,Less than 1 year,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Home maker,"S$3,001-S$4,000",-,0.972978665,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,9,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree
2041,Resident (Citizen/PR),Female,45-54 years old,HDB 3 room,Tourism / Hospitality / Accommodation,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,3,4,5,5,6,5,A few times a week,A few times a week,A few times a month,Less frequently,Single,No,-,No,No,No,No,No,Yes,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),"Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)",Refuse,"S$3,001-S$4,000",0.754397211,5,7,6,6,6,5,5,5,4,6,5,5,6,10 - Strongly agree,6,7,7,6,7,6,8,8,7,3,7,7,8,7,6,7,7,8,6,7,7,8,7,7
2046,Resident (Citizen/PR),Female,25-34 years old,HDB 3 room,Not currently working,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,10 - A lot,5,0 - Not at all,4,10 - Very strong,9,Less frequently,Less frequently,A few times a month,A few times a month,Married,Yes,9,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Home maker,Refuse,-,0.749618391,6,8,7,5,7,9,5,2,6,6,7,3,8,9,6,9,9,5,5,10 - Strongly agree,5,8,8,5,5,5,10 - Strongly agree,9,10 - Strongly agree,8,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,8
2051,Resident (Citizen/PR),Female,35-44 years old,HDB 3 room,Not currently working,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,7,0 - Not at all,7,9,8,A few times a week,A few times a week,A few times a week,A few times a month,Married,Yes,3,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Home maker,Refuse,-,0.881168454,8,8,5,7,6,7,7,7,4,8,8,7,7,7,8,8,8,7,8,8,8,6,6,7,9,7,8,8,8,8,8,8,9,8,8,7,8,8
2059,Resident (Citizen/PR),Female,35-44 years old,HDB 3 room,Not currently working,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,5,5,0 - Not at all,5,6,8,Daily,Less frequently,Daily,Less frequently,Married,Yes,5,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Post graduate degree,Non-Singapore university (studied overseas most or all of the time),Home maker,"S$3,001-S$4,000",-,0.772323495,6,6,6,9,6,9,6,6,5,6,9,6,5,6,5,6,6,6,6,6,6,5,6,5,6,6,5,6,6,6,6,6,6,6,6,5,6,5
2066,Resident (Citizen/PR),Female,35-44 years old,HDB 4 room,Government / Public Sector / Defence,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,10 - A lot,6,6,6,6,Daily,A few times a week,A few times a month,Less frequently,Married,Yes,2,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Post graduate degree,Non-Singapore university (studied overseas most or all of the time),Middle management (managerial),"S$8,001-S$9,000","S$3,001-S$4,000",0.852792993,8,8,8,9,9,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8
2070,Resident (Citizen/PR),Male,25-34 years old,HDB 4 room,"Professional, Scientific and Technical Activities",No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,5,10 - A lot,10 - A lot,10 - Very strong,5,A few times a week,Daily,A few times a week,A few times a month,Married,Yes,Less than 1 year,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,University / degree,Non-Singapore university with a Singapore campus (studied locally most or all of the time),"Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)","$14,001-$15,000","S$4,001-S$5,000",0.982978931,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,4,10 - Strongly agree,0 - Do not agree at all,4,4,7,4,5,6,7,10 - Strongly agree,10 - Strongly agree,0 - Do not agree at all,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,0 - Do not agree at all,8,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree
2072,Resident (Citizen/PR),Male,35-44 years old,HDB 4 room,Marine,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,10 - A lot,6,9,9,8,8,Daily,Daily,A few times a week,A few times a month,Married,Yes,5,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),"Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)","S$8,001-S$9,000","S$8,001-S$9,000",0.887653621,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,9,5,10 - Strongly agree,6,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree
2110,Resident (Citizen/PR),Male,35-44 years old,HDB 4 room,Manufacturing,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,8,5,5,2,8,8,A few times a week,Daily,A few times a month,A few times a month,Married,Yes,8,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Polytechnic / diploma,-,"Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)","S$4,001-S$5,000","S$4,001-S$5,000",1.012752266,6,10 - Strongly agree,10 - Strongly agree,6,4,8,10 - Strongly agree,5,8,8,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,6,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,8,8,7,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,7,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,6,10 - Strongly agree,7,10 - Strongly agree
2123,Resident (Citizen/PR),Female,45-54 years old,HDB 4 room,Manufacturing,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,8,8,6,5,7,5,Daily,Daily,Daily,A few times a month,Married,Yes,13,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Primary school / PSLE,-,"Cleaners, labourers and related workers","S$3,001-S$4,000","S$1,000-2,000",0.978762877,9,7,7,7,5,9,8,8,6,8,9,5,8,8,8,7,10 - Strongly agree,7,8,9,7,8,7,7,7,8,8,8,8,8,8,7,10 - Strongly agree,7,8,7,7,10 - Strongly agree
